rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic,uniform_center_overlap_fraction
0,0.14083191302413312,0.09940279624186221,0.019302714926450266,,0.9000000134110451,True,False,False,0.5,0.5,5.806713581085205,5.868861198425293,0.018745707347989082,0.0,0.0,1.9464963674545288,3.3602172136306763,0.0,0.0,0.0,0.5,0.0
1,0.14910303951441062,0.10814120552880091,0.0,0.800000011920929,,True,False,False,1666.6665711402893,1666.6666666666667,1671.9183349609375,1671.954345703125,0.0,0.0,0.0,1.5553464889526367,3.6964173316955566,0.0,0.0,0.0,1666.6665711402893,0.0
2,0.14295672862474135,0.11295672566459299,0.05028959516251285,,,True,True,False,0.0,0.0,6.098649978637695,6.124579429626465,0.007993035949766636,0.0,0.0,1.9764864444732666,4.122163534164429,0.0,0.0,0.0,0.0,0.0
3,0.2138386107513206,0.17354642887358285,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6665997505188,1666.6666666666667,1672.2275390625,1672.1536865234375,0.0,0.0,0.0,1.674356460571289,3.886582851409912,0.0,0.0,0.0,1666.6665997505188,0.0
4,0.3210946736627477,0.2910105806223065,0.0,0.6000000089406967,0.5000000074505806,True,False,False,1666.7092514038086,1666.70917391692,1672.385498046875,1672.37255859375,0.0,0.0,0.0,1.5787925720214844,4.097454071044922,0.0,0.0,0.0,1666.7092514038086,2.5504350151913197e-05
5,0.3817801321651785,0.34346868046491,0.0,0.9000000134110451,,True,False,False,1666.6666269302368,1666.6666666666667,1672.7684326171875,1672.885498046875,0.0,0.0,0.0,2.1578571796417236,3.94394850730896,0.0,0.0,0.0,1666.6666269302368,0.0
6,0.3409385139748582,0.3085846703396332,0.0,0.800000011920929,,True,False,False,1666.6667861938477,1666.6667207113271,1672.108642578125,1672.0975341796875,0.0,0.0,0.0,1.5666369199752808,3.875219464302063,0.0,0.0,0.0,1666.6667861938477,3.242679627065926e-08
7,0.17751032110150683,0.13508391286420637,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.6666860580444,1666.6666666666667,1671.7803955078125,1671.9400634765625,0.0,0.0,0.0,1.6969091892242432,3.4168002605438232,0.0,0.0,0.0,1666.6666860580444,0.0
8,0.16502958281069802,0.12421781590562553,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666331291199,1666.6666666666667,1672.54931640625,1672.59619140625,0.0,0.0,0.0,2.201484203338623,3.681199073791504,0.0,0.0,0.0,1666.6666331291199,0.0
9,0.3596748207114655,0.329674817751317,0.0,0.800000011920929,,True,False,False,1666.6666417121887,1666.6666666666667,1673.1353759765625,1673.0755615234375,0.0,0.0,0.0,1.7352497577667236,4.733484506607056,0.0,0.0,0.0,1666.6666417121887,0.0
